[DEBUG] [2021-01-21 13:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5f29271b25cf46a3968667a7c38478f7, msgType : 19
[DEBUG] [2021-01-21 13:06:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 896ac8ba87d04859b563518216b27de3, msgType : 19
[DEBUG] [2021-01-21 13:06:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f320eb0ae64e45a7be1d61e4017ad91e, msgType : 19
[DEBUG] [2021-01-21 13:06:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0e7082b48fb8418aba68f606e918c183, msgType : 19
[DEBUG] [2021-01-21 13:06:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : cdec3c7c525a4227afe0d6c628e275ec, msgType : 19
[DEBUG] [2021-01-21 13:06:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : de2634fe9bef4ba0a8e4550ba23f9c22, msgType : 19
[DEBUG] [2021-01-21 13:06:11] SolidityCompiler.compileSrc(305) |  source: /home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/CallPaillier10times.sol, sm: false
[DEBUG] [2021-01-21 13:06:11] ContractCompiler.compileSolToBinAndAbi(83) |  solidity compiler result, success: true, output: {"contracts":{"/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/CallPaillier10times.sol:CallPaillier10times":{"abi":"[{\"constant\":false,\"inputs\":[{\"name\":\"cipher1\",\"type\":\"string\"},{\"name\":\"cipher2\",\"type\":\"string\"}],\"name\":\"enc\",\"outputs\":[{\"name\":\"\",\"type\":\"string\"}],\"payable\":false,\"stateMutability\":\"nonpayable\",\"type\":\"function\"},{\"constant\":false,\"inputs\":[],\"name\":\"CallPaillier\",\"outputs\":[],\"payable\":false,\"stateMutability\":\"nonpayable\",\"type\":\"function\"}]","bin":"608060405234801561001057600080fd5b5061060e806100206000396000f30060806040526004361061004c576000357c0100000000000000000000000000000000000000000000000000000000900463ffffffff168063cdfd6e1e14610051578063e49f13a814610179575b600080fd5b34801561005d57600080fd5b506100fe600480360381019080803590602001908201803590602001908080601f0160208091040260200160405190810160405280939291908181526020018383808284378201915050505050509192919290803590602001908201803590602001908080601f0160208091040260200160405190810160405280939291908181526020018383808284378201915050505050509192919290505050610190565b6040518080602001828103825283818151815260200191508051906020019080838360005b8381101561013e578082015181840152602081019050610123565b50505050905090810190601f16801561016b5780820380516001836020036101000a031916815260200191505b509250505060405180910390f35b34801561018557600080fd5b5061018e61059e565b005b606060008090505b60098110156103a2576000809054906101000a900473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1663938e766885856040518363ffffffff167c0100000000000000000000000000000000000000000000000000000000028152600401808060200180602001838103835285818151815260200191508051906020019080838360005b8381101561024f578082015181840152602081019050610234565b50505050905090810190601f16801561027c5780820380516001836020036101000a031916815260200191505b50838103825284818151815260200191508051906020019080838360005b838110156102b557808201518184015260208101905061029a565b50505050905090810190601f1680156102e25780820380516001836020036101000a031916815260200191505b50945050505050600060405180830381600087803b15801561030357600080fd5b505af1158015610317573d6000803e3d6000fd5b505050506040513d6000823e3d601f19601f82011682018060405250602081101561034157600080fd5b81019080805164010000000081111561035957600080fd5b8281019050602081018481111561036f57600080fd5b815185600182028301116401000000008211171561038c57600080fd5b5050929190505050508080600101915050610198565b6000809054906101000a900473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1663938e766885856040518363ffffffff167c0100000000000000000000000000000000000000000000000000000000028152600401808060200180602001838103835285818151815260200191508051906020019080838360005b83811015610450578082015181840152602081019050610435565b50505050905090810190601f16801561047d5780820380516001836020036101000a031916815260200191505b50838103825284818151815260200191508051906020019080838360005b838110156104b657808201518184015260208101905061049b565b50505050905090810190601f1680156104e35780820380516001836020036101000a031916815260200191505b50945050505050600060405180830381600087803b15801561050457600080fd5b505af1158015610518573d6000803e3d6000fd5b505050506040513d6000823e3d601f19601f82011682018060405250602081101561054257600080fd5b81019080805164010000000081111561055a57600080fd5b8281019050602081018481111561057057600080fd5b815185600182028301116401000000008211171561058d57600080fd5b505092919050505091505092915050565b6150036000806101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff1602179055505600a165627a7a72305820620884fb5e415aaf1e6ad4468f537a61f0dc7eb28c2b759a3a3e1e0b417c9c840029","metadata":"{\"compiler\":{\"version\":\"0.4.25+commit.46d177ad.mod\"},\"language\":\"Solidity\",\"output\":{\"abi\":[{\"constant\":false,\"inputs\":[{\"name\":\"cipher1\",\"type\":\"string\"},{\"name\":\"cipher2\",\"type\":\"string\"}],\"name\":\"enc\",\"outputs\":[{\"name\":\"\",\"type\":\"string\"}],\"payable\":false,\"stateMutability\":\"nonpayable\",\"type\":\"function\"},{\"constant\":false,\"inputs\":[],\"name\":\"CallPaillier\",\"outputs\":[],\"payable\":false,\"stateMutability\":\"nonpayable\",\"type\":\"function\"}],\"devdoc\":{\"methods\":{}},\"userdoc\":{\"methods\":{}}},\"settings\":{\"compilationTarget\":{\"/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/CallPaillier10times.sol\":\"CallPaillier10times\"},\"evmVersion\":\"byzantium\",\"libraries\":{},\"optimizer\":{\"enabled\":false,\"runs\":200},\"remappings\":[]},\"sources\":{\"/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/CallPaillier10times.sol\":{\"keccak256\":\"0xaa5ce17c5fa3ddb57dc59cf42cb4df6a4ffd1f33ccef6909d13e81f70210ef8a\",\"urls\":[\"bzzr://fed55f6329da5ee4c49b3bc4d2c47e171a14311eabb9eacd28f7164c7fe51ebc\"]},\"/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/PaillierPrecompiled.sol\":{\"keccak256\":\"0xda40260269b2fa69631bcf2927721d47872863d63727bc08cbb08646cd23e2e1\",\"urls\":[\"bzzr://fc89ab5fdbf0594425c9b9cfce457ecca0cf08b24426f68d00ff092e3264c334\"]}},\"version\":1}"},"/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/PaillierPrecompiled.sol:PaillierPrecompiled":{"abi":"[{\"constant\":true,\"inputs\":[{\"name\":\"cipher1\",\"type\":\"string\"},{\"name\":\"cipher2\",\"type\":\"string\"}],\"name\":\"paillierAdd\",\"outputs\":[{\"name\":\"\",\"type\":\"string\"}],\"payable\":false,\"stateMutability\":\"view\",\"type\":\"function\"}]","bin":"","metadata":""}},"version":"0.4.25+commit.46d177ad.mod.Linux.g++"}
, error: /home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/CallPaillier10times.sol:8:5: Warning: No visibility specified. Defaulting to "public". 
    function CallPaillier() {
    ^ (Relevant source part starts here and spans across multiple lines).
/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/CallPaillier10times.sol:13:5: Warning: Function state mutability can be restricted to view
    function enc(string cipher1, string cipher2) public returns(string) {
    ^ (Relevant source part starts here and spans across multiple lines).

[DEBUG] [2021-01-21 13:06:11] SolidityCompiler.compileSrc(305) |  source: /home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/CallPaillier10times.sol, sm: true
[DEBUG] [2021-01-21 13:06:11] ContractCompiler.compileSolToBinAndAbi(95) |  sm solidity compiler result, success: true, output: {"contracts":{"/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/CallPaillier10times.sol:CallPaillier10times":{"abi":"[{\"constant\":false,\"inputs\":[],\"name\":\"CallPaillier\",\"outputs\":[],\"payable\":false,\"stateMutability\":\"nonpayable\",\"type\":\"function\"},{\"constant\":false,\"inputs\":[{\"name\":\"cipher1\",\"type\":\"string\"},{\"name\":\"cipher2\",\"type\":\"string\"}],\"name\":\"enc\",\"outputs\":[{\"name\":\"\",\"type\":\"string\"}],\"payable\":false,\"stateMutability\":\"nonpayable\",\"type\":\"function\"}]","bin":"608060405234801561001057600080fd5b5061060e806100206000396000f30060806040526004361061004c576000357c0100000000000000000000000000000000000000000000000000000000900463ffffffff168063798f3dbd14610051578063d6b76cab14610068575b600080fd5b34801561005d57600080fd5b50610066610190565b005b34801561007457600080fd5b50610115600480360381019080803590602001908201803590602001908080601f0160208091040260200160405190810160405280939291908181526020018383808284378201915050505050509192919290803590602001908201803590602001908080601f01602080910402602001604051908101604052809392919081815260200183838082843782019150505050505091929192905050506101d4565b6040518080602001828103825283818151815260200191508051906020019080838360005b8381101561015557808201518184015260208101905061013a565b50505050905090810190601f1680156101825780820380516001836020036101000a031916815260200191505b509250505060405180910390f35b6150036000806101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff160217905550565b606060008090505b60098110156103e6576000809054906101000a900473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16638afc0c2a85856040518363ffffffff167c0100000000000000000000000000000000000000000000000000000000028152600401808060200180602001838103835285818151815260200191508051906020019080838360005b83811015610293578082015181840152602081019050610278565b50505050905090810190601f1680156102c05780820380516001836020036101000a031916815260200191505b50838103825284818151815260200191508051906020019080838360005b838110156102f95780820151818401526020810190506102de565b50505050905090810190601f1680156103265780820380516001836020036101000a031916815260200191505b50945050505050600060405180830381600087803b15801561034757600080fd5b505af115801561035b573d6000803e3d6000fd5b505050506040513d6000823e3d601f19601f82011682018060405250602081101561038557600080fd5b81019080805164010000000081111561039d57600080fd5b828101905060208101848111156103b357600080fd5b81518560018202830111640100000000821117156103d057600080fd5b50509291905050505080806001019150506101dc565b6000809054906101000a900473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16638afc0c2a85856040518363ffffffff167c0100000000000000000000000000000000000000000000000000000000028152600401808060200180602001838103835285818151815260200191508051906020019080838360005b83811015610494578082015181840152602081019050610479565b50505050905090810190601f1680156104c15780820380516001836020036101000a031916815260200191505b50838103825284818151815260200191508051906020019080838360005b838110156104fa5780820151818401526020810190506104df565b50505050905090810190601f1680156105275780820380516001836020036101000a031916815260200191505b50945050505050600060405180830381600087803b15801561054857600080fd5b505af115801561055c573d6000803e3d6000fd5b505050506040513d6000823e3d601f19601f82011682018060405250602081101561058657600080fd5b81019080805164010000000081111561059e57600080fd5b828101905060208101848111156105b457600080fd5b81518560018202830111640100000000821117156105d157600080fd5b5050929190505050915050929150505600a165627a7a72305820121f78b18d6f03f682a3eb9e63d5ded1d765bc14d0b43769d63c412bfde11b720029","metadata":"{\"compiler\":{\"version\":\"0.4.25+commit.46d177ad.mod\"},\"language\":\"Solidity\",\"output\":{\"abi\":[{\"constant\":false,\"inputs\":[],\"name\":\"CallPaillier\",\"outputs\":[],\"payable\":false,\"stateMutability\":\"nonpayable\",\"type\":\"function\"},{\"constant\":false,\"inputs\":[{\"name\":\"cipher1\",\"type\":\"string\"},{\"name\":\"cipher2\",\"type\":\"string\"}],\"name\":\"enc\",\"outputs\":[{\"name\":\"\",\"type\":\"string\"}],\"payable\":false,\"stateMutability\":\"nonpayable\",\"type\":\"function\"}],\"devdoc\":{\"methods\":{}},\"userdoc\":{\"methods\":{}}},\"settings\":{\"compilationTarget\":{\"/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/CallPaillier10times.sol\":\"CallPaillier10times\"},\"evmVersion\":\"byzantium\",\"libraries\":{},\"optimizer\":{\"enabled\":false,\"runs\":200},\"remappings\":[]},\"sources\":{\"/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/CallPaillier10times.sol\":{\"keccak256\":\"0xaa9fea4cff61b28a099c2a78562bc1c22787158d4e7c1002afceaf1c48e70f60\",\"urls\":[\"bzzr://ffe3bf0a2fc803567a8a7f014ad9d3ac1bae416a7860f1ab55cc21f48551067e\"]},\"/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/PaillierPrecompiled.sol\":{\"keccak256\":\"0x24793fb4662a5df6c2e21d11c2c6ee402714d974aaf52ed36b07f30e21b2b2ee\",\"urls\":[\"bzzr://13f6c2a24a9dd468c9f9a387b5bb6e5e96e566b2b6b6bc3fb2093c774695d223\"]}},\"version\":1}"},"/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/PaillierPrecompiled.sol:PaillierPrecompiled":{"abi":"[{\"constant\":true,\"inputs\":[{\"name\":\"cipher1\",\"type\":\"string\"},{\"name\":\"cipher2\",\"type\":\"string\"}],\"name\":\"paillierAdd\",\"outputs\":[{\"name\":\"\",\"type\":\"string\"}],\"payable\":false,\"stateMutability\":\"view\",\"type\":\"function\"}]","bin":"","metadata":""}},"version":"0.4.25+commit.46d177ad.mod.Linux.g++"}
, error: /home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/CallPaillier10times.sol:8:5: Warning: No visibility specified. Defaulting to "public". 
    function CallPaillier() {
    ^ (Relevant source part starts here and spans across multiple lines).
/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/CallPaillier10times.sol:13:5: Warning: Function state mutability can be restricted to view
    function enc(string cipher1, string cipher2) public returns(string) {
    ^ (Relevant source part starts here and spans across multiple lines).

[DEBUG] [2021-01-21 13:06:11] CompilationResult.parse(24) | rawJson: {"contracts":{"/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/CallPaillier10times.sol:CallPaillier10times":{"abi":"[{\"constant\":false,\"inputs\":[{\"name\":\"cipher1\",\"type\":\"string\"},{\"name\":\"cipher2\",\"type\":\"string\"}],\"name\":\"enc\",\"outputs\":[{\"name\":\"\",\"type\":\"string\"}],\"payable\":false,\"stateMutability\":\"nonpayable\",\"type\":\"function\"},{\"constant\":false,\"inputs\":[],\"name\":\"CallPaillier\",\"outputs\":[],\"payable\":false,\"stateMutability\":\"nonpayable\",\"type\":\"function\"}]","bin":"608060405234801561001057600080fd5b5061060e806100206000396000f30060806040526004361061004c576000357c0100000000000000000000000000000000000000000000000000000000900463ffffffff168063cdfd6e1e14610051578063e49f13a814610179575b600080fd5b34801561005d57600080fd5b506100fe600480360381019080803590602001908201803590602001908080601f0160208091040260200160405190810160405280939291908181526020018383808284378201915050505050509192919290803590602001908201803590602001908080601f0160208091040260200160405190810160405280939291908181526020018383808284378201915050505050509192919290505050610190565b6040518080602001828103825283818151815260200191508051906020019080838360005b8381101561013e578082015181840152602081019050610123565b50505050905090810190601f16801561016b5780820380516001836020036101000a031916815260200191505b509250505060405180910390f35b34801561018557600080fd5b5061018e61059e565b005b606060008090505b60098110156103a2576000809054906101000a900473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1663938e766885856040518363ffffffff167c0100000000000000000000000000000000000000000000000000000000028152600401808060200180602001838103835285818151815260200191508051906020019080838360005b8381101561024f578082015181840152602081019050610234565b50505050905090810190601f16801561027c5780820380516001836020036101000a031916815260200191505b50838103825284818151815260200191508051906020019080838360005b838110156102b557808201518184015260208101905061029a565b50505050905090810190601f1680156102e25780820380516001836020036101000a031916815260200191505b50945050505050600060405180830381600087803b15801561030357600080fd5b505af1158015610317573d6000803e3d6000fd5b505050506040513d6000823e3d601f19601f82011682018060405250602081101561034157600080fd5b81019080805164010000000081111561035957600080fd5b8281019050602081018481111561036f57600080fd5b815185600182028301116401000000008211171561038c57600080fd5b5050929190505050508080600101915050610198565b6000809054906101000a900473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1663938e766885856040518363ffffffff167c0100000000000000000000000000000000000000000000000000000000028152600401808060200180602001838103835285818151815260200191508051906020019080838360005b83811015610450578082015181840152602081019050610435565b50505050905090810190601f16801561047d5780820380516001836020036101000a031916815260200191505b50838103825284818151815260200191508051906020019080838360005b838110156104b657808201518184015260208101905061049b565b50505050905090810190601f1680156104e35780820380516001836020036101000a031916815260200191505b50945050505050600060405180830381600087803b15801561050457600080fd5b505af1158015610518573d6000803e3d6000fd5b505050506040513d6000823e3d601f19601f82011682018060405250602081101561054257600080fd5b81019080805164010000000081111561055a57600080fd5b8281019050602081018481111561057057600080fd5b815185600182028301116401000000008211171561058d57600080fd5b505092919050505091505092915050565b6150036000806101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff1602179055505600a165627a7a72305820620884fb5e415aaf1e6ad4468f537a61f0dc7eb28c2b759a3a3e1e0b417c9c840029","metadata":"{\"compiler\":{\"version\":\"0.4.25+commit.46d177ad.mod\"},\"language\":\"Solidity\",\"output\":{\"abi\":[{\"constant\":false,\"inputs\":[{\"name\":\"cipher1\",\"type\":\"string\"},{\"name\":\"cipher2\",\"type\":\"string\"}],\"name\":\"enc\",\"outputs\":[{\"name\":\"\",\"type\":\"string\"}],\"payable\":false,\"stateMutability\":\"nonpayable\",\"type\":\"function\"},{\"constant\":false,\"inputs\":[],\"name\":\"CallPaillier\",\"outputs\":[],\"payable\":false,\"stateMutability\":\"nonpayable\",\"type\":\"function\"}],\"devdoc\":{\"methods\":{}},\"userdoc\":{\"methods\":{}}},\"settings\":{\"compilationTarget\":{\"/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/CallPaillier10times.sol\":\"CallPaillier10times\"},\"evmVersion\":\"byzantium\",\"libraries\":{},\"optimizer\":{\"enabled\":false,\"runs\":200},\"remappings\":[]},\"sources\":{\"/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/CallPaillier10times.sol\":{\"keccak256\":\"0xaa5ce17c5fa3ddb57dc59cf42cb4df6a4ffd1f33ccef6909d13e81f70210ef8a\",\"urls\":[\"bzzr://fed55f6329da5ee4c49b3bc4d2c47e171a14311eabb9eacd28f7164c7fe51ebc\"]},\"/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/PaillierPrecompiled.sol\":{\"keccak256\":\"0xda40260269b2fa69631bcf2927721d47872863d63727bc08cbb08646cd23e2e1\",\"urls\":[\"bzzr://fc89ab5fdbf0594425c9b9cfce457ecca0cf08b24426f68d00ff092e3264c334\"]}},\"version\":1}"},"/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/PaillierPrecompiled.sol:PaillierPrecompiled":{"abi":"[{\"constant\":true,\"inputs\":[{\"name\":\"cipher1\",\"type\":\"string\"},{\"name\":\"cipher2\",\"type\":\"string\"}],\"name\":\"paillierAdd\",\"outputs\":[{\"name\":\"\",\"type\":\"string\"}],\"payable\":false,\"stateMutability\":\"view\",\"type\":\"function\"}]","bin":"","metadata":""}},"version":"0.4.25+commit.46d177ad.mod.Linux.g++"}

[DEBUG] [2021-01-21 13:06:11] CompilationResult.parse(24) | rawJson: {"contracts":{"/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/CallPaillier10times.sol:CallPaillier10times":{"abi":"[{\"constant\":false,\"inputs\":[],\"name\":\"CallPaillier\",\"outputs\":[],\"payable\":false,\"stateMutability\":\"nonpayable\",\"type\":\"function\"},{\"constant\":false,\"inputs\":[{\"name\":\"cipher1\",\"type\":\"string\"},{\"name\":\"cipher2\",\"type\":\"string\"}],\"name\":\"enc\",\"outputs\":[{\"name\":\"\",\"type\":\"string\"}],\"payable\":false,\"stateMutability\":\"nonpayable\",\"type\":\"function\"}]","bin":"608060405234801561001057600080fd5b5061060e806100206000396000f30060806040526004361061004c576000357c0100000000000000000000000000000000000000000000000000000000900463ffffffff168063798f3dbd14610051578063d6b76cab14610068575b600080fd5b34801561005d57600080fd5b50610066610190565b005b34801561007457600080fd5b50610115600480360381019080803590602001908201803590602001908080601f0160208091040260200160405190810160405280939291908181526020018383808284378201915050505050509192919290803590602001908201803590602001908080601f01602080910402602001604051908101604052809392919081815260200183838082843782019150505050505091929192905050506101d4565b6040518080602001828103825283818151815260200191508051906020019080838360005b8381101561015557808201518184015260208101905061013a565b50505050905090810190601f1680156101825780820380516001836020036101000a031916815260200191505b509250505060405180910390f35b6150036000806101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff160217905550565b606060008090505b60098110156103e6576000809054906101000a900473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16638afc0c2a85856040518363ffffffff167c0100000000000000000000000000000000000000000000000000000000028152600401808060200180602001838103835285818151815260200191508051906020019080838360005b83811015610293578082015181840152602081019050610278565b50505050905090810190601f1680156102c05780820380516001836020036101000a031916815260200191505b50838103825284818151815260200191508051906020019080838360005b838110156102f95780820151818401526020810190506102de565b50505050905090810190601f1680156103265780820380516001836020036101000a031916815260200191505b50945050505050600060405180830381600087803b15801561034757600080fd5b505af115801561035b573d6000803e3d6000fd5b505050506040513d6000823e3d601f19601f82011682018060405250602081101561038557600080fd5b81019080805164010000000081111561039d57600080fd5b828101905060208101848111156103b357600080fd5b81518560018202830111640100000000821117156103d057600080fd5b50509291905050505080806001019150506101dc565b6000809054906101000a900473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16638afc0c2a85856040518363ffffffff167c0100000000000000000000000000000000000000000000000000000000028152600401808060200180602001838103835285818151815260200191508051906020019080838360005b83811015610494578082015181840152602081019050610479565b50505050905090810190601f1680156104c15780820380516001836020036101000a031916815260200191505b50838103825284818151815260200191508051906020019080838360005b838110156104fa5780820151818401526020810190506104df565b50505050905090810190601f1680156105275780820380516001836020036101000a031916815260200191505b50945050505050600060405180830381600087803b15801561054857600080fd5b505af115801561055c573d6000803e3d6000fd5b505050506040513d6000823e3d601f19601f82011682018060405250602081101561058657600080fd5b81019080805164010000000081111561059e57600080fd5b828101905060208101848111156105b457600080fd5b81518560018202830111640100000000821117156105d157600080fd5b5050929190505050915050929150505600a165627a7a72305820121f78b18d6f03f682a3eb9e63d5ded1d765bc14d0b43769d63c412bfde11b720029","metadata":"{\"compiler\":{\"version\":\"0.4.25+commit.46d177ad.mod\"},\"language\":\"Solidity\",\"output\":{\"abi\":[{\"constant\":false,\"inputs\":[],\"name\":\"CallPaillier\",\"outputs\":[],\"payable\":false,\"stateMutability\":\"nonpayable\",\"type\":\"function\"},{\"constant\":false,\"inputs\":[{\"name\":\"cipher1\",\"type\":\"string\"},{\"name\":\"cipher2\",\"type\":\"string\"}],\"name\":\"enc\",\"outputs\":[{\"name\":\"\",\"type\":\"string\"}],\"payable\":false,\"stateMutability\":\"nonpayable\",\"type\":\"function\"}],\"devdoc\":{\"methods\":{}},\"userdoc\":{\"methods\":{}}},\"settings\":{\"compilationTarget\":{\"/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/CallPaillier10times.sol\":\"CallPaillier10times\"},\"evmVersion\":\"byzantium\",\"libraries\":{},\"optimizer\":{\"enabled\":false,\"runs\":200},\"remappings\":[]},\"sources\":{\"/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/CallPaillier10times.sol\":{\"keccak256\":\"0xaa9fea4cff61b28a099c2a78562bc1c22787158d4e7c1002afceaf1c48e70f60\",\"urls\":[\"bzzr://ffe3bf0a2fc803567a8a7f014ad9d3ac1bae416a7860f1ab55cc21f48551067e\"]},\"/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/PaillierPrecompiled.sol\":{\"keccak256\":\"0x24793fb4662a5df6c2e21d11c2c6ee402714d974aaf52ed36b07f30e21b2b2ee\",\"urls\":[\"bzzr://13f6c2a24a9dd468c9f9a387b5bb6e5e96e566b2b6b6bc3fb2093c774695d223\"]}},\"version\":1}"},"/home/yfj/code/FISCO-BCOS/tools/console/contracts/solidity/PaillierPrecompiled.sol:PaillierPrecompiled":{"abi":"[{\"constant\":true,\"inputs\":[{\"name\":\"cipher1\",\"type\":\"string\"},{\"name\":\"cipher2\",\"type\":\"string\"}],\"name\":\"paillierAdd\",\"outputs\":[{\"name\":\"\",\"type\":\"string\"}],\"payable\":false,\"stateMutability\":\"view\",\"type\":\"function\"}]","bin":"","metadata":""}},"version":"0.4.25+commit.46d177ad.mod.Linux.g++"}

[INFO] [2021-01-21 13:06:11] ContractABIDefinition.addFunction(84) |  name: enc, methodId: 0xcdfd6e1e, methodSignature: enc(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@a811e68b
[INFO] [2021-01-21 13:06:11] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@a811e68b
[INFO] [2021-01-21 13:06:11] ContractABIDefinition.addFunction(84) |  name: CallPaillier, methodId: 0xe49f13a8, methodSignature: CallPaillier(), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7a68cfc7
[INFO] [2021-01-21 13:06:11] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7a68cfc7
[INFO] [2021-01-21 13:06:11] ABIDefinitionFactory.loadABI(49) |  contractABIDefinition org.fisco.bcos.sdk.abi.wrapper.ContractABIDefinition@21fdfefc 
[INFO] [2021-01-21 13:06:11] ABIObjectFactory.createObject(32) |  name: null
[DEBUG] [2021-01-21 13:06:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8d1c28c347bd40538cd4e6c26633ac9c, msgType : 18
[DEBUG] [2021-01-21 13:06:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-21 13:06:12] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-21 13:06:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-21 13:06:12] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-21 13:06:12] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 16, groupId: 1
[DEBUG] [2021-01-21 13:06:12] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 16, groupId: 1
[DEBUG] [2021-01-21 13:06:12] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 16, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2021-01-21 13:06:12] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 16, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2021-01-21 13:06:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8d1c28c347bd40538cd4e6c26633ac9c, msgType : 4096
[DEBUG] [2021-01-21 13:06:12] ChannelMsgHandler.onMessage(156) |  call 
[INFO] [2021-01-21 13:06:12] ContractABIDefinition.addFunction(84) |  name: enc, methodId: 0xcdfd6e1e, methodSignature: enc(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@a811e68b
[INFO] [2021-01-21 13:06:12] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@a811e68b
[INFO] [2021-01-21 13:06:12] ContractABIDefinition.addFunction(84) |  name: CallPaillier, methodId: 0xe49f13a8, methodSignature: CallPaillier(), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7a68cfc7
[INFO] [2021-01-21 13:06:12] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7a68cfc7
